124
YAL069W	334	648	648	1	1	0	0
YAL068W-A	537	791	648	1	1	1	1
YAL068C	1806	2168	791	2	1	2	2
YAL067W-A	2479	2706	2168	1	1	3	3
YAL067C	7234	9015	2706	2	1	4	4
YAL066W	10090	10398	9015	1	1	5	5
YAL065C	11564	11950	10398	2	1	6	6
YAL064W-B	12045	12425	11950	1	1	7	7
YAL064C-A	13362	13742	12425	2	1	8	8
YAL064W	21565	21849	13742	1	1	9	9
YAL063C-A	22394	22684	21849	2	1	10	10
YAL063C	23999	27967	22684	2	1	11	11
YAL062W	31566	32939	27967	1	1	12	12
YAL061W	33447	34700	32939	1	1	13	13
YAL060W	35154	36302	34700	1	1	14	14
YAL059C-A	36495	36917	36302	2	1	15	15
YAL059W	36508	37146	36917	1	1	16	16
YAL058W	37463	38971	37146	1	1	17	17
YAL056C-A	38695	39045	38971	2	1	18	18
YAL056W	39258	41900	39045	1	1	19	19
YAL055W	42176	42718	41900	1	1	20	20
YAL054C	42880	45021	42718	2	1	21	21
YAL053W	45898	48249	45021	1	1	22	22
YAL051W	48563	51706	48249	1	1	23	23
YAL049C	51854	52594	51706	2	1	24	24
YAL048C	52800	54788	52594	2	1	25	25
YAL047W-A	54583	54912	54788	1	1	26	26
YAL047C	54988	56856	54912	2	1	27	27
YAL046C	57028	57384	56856	2	1	28	28
YAL045C	57487	57795	57384	2	1	29	29
YAL044W-A	57517	57849	57795	1	1	30	30
YAL044C	57949	58461	57849	2	1	31	31
YAL043C	58694	61051	58461	2	1	32	32
YAL042C-A	61230	61607	61051	2	1	33	33
YAL042W	61315	62562	61607	1	1	34	34
YAL041W	62839	65403	62562	1	1	35	35
YAL040C	65777	67519	65403	2	1	36	36
YAL039C	68715	69524	67519	2	1	37	37
YAL038W	71785	73287	69524	1	1	38	38
YAL037C-B	72325	73299	73287	2	1	39	39
YAL037C-A	73425	73517	73299	2	1	40	40
YAL037W	74019	74822	73517	1	1	41	41
YAL036C	75042	76151	74822	2	1	42	42
YAL035W	76426	79434	76151	1	1	43	43
YAL034C-B	79488	79841	79434	2	1	44	44
YAL034W-A	79717	80586	79841	1	1	45	45
YAL034C	80709	81950	80586	2	1	46	46
YAL033W	82705	83226	81950	1	1	47	47
YAL032C	83334	84473	83226	2	1	48	48
YAL031W-A	84668	84976	84473	1	1	49	49
YAL031C	84748	87030	84976	2	1	50	50
YAL030W	87285	87751	87030	1	2	51	51
YAL029C	87854	92269	87751	2	1	53	52
YAL028W	92899	94485	92269	1	1	54	53
YAL027W	94686	95471	94485	1	1	55	54
YAL026C-A	95385	95822	95471	2	1	56	55
YAL026C	95629	99696	95822	2	1	57	56
HRA1	99304	99867	99696	1	1	58	57
YAL025C	100224	101144	99867	2	1	59	58
YAL024C	101564	105871	101144	2	1	60	59
YAL023C	106271	108550	105871	2	1	61	60
YAL022C	108876	110429	108550	2	1	62	61
YAL021C	110845	113358	110429	2	1	63	62
YAL020C	113613	114614	113358	2	1	64	63
YAL019W-A	114249	114818	114614	1	1	65	64
YAL019W	114918	118313	114818	1	1	66	65
YAL018C	118563	119540	118313	2	1	67	66
YAL017W	120224	124294	119540	1	1	68	67
YAL016C-B	124306	124491	124294	2	1	69	68
YAL016C-A	124754	125068	124491	2	1	70	69
YAL016W	124878	126785	125068	1	1	71	70
YAL015C	126902	128101	126785	2	1	72	71
YAL014C	128251	129018	128101	2	1	73	72
YAL013W	129269	130486	129018	1	1	74	73
YAL012W	130798	131982	130486	1	1	75	74
YAL011W	132198	134075	131982	1	1	76	75
YAL010C	134183	135664	134075	2	1	77	76
YAL009W	135853	136632	135664	1	1	78	77
YAL008W	136913	137509	136632	1	1	79	78
YAL007C	137697	138344	137509	2	1	80	79
tP(UGG)A	139151	139253	138344	1	2	81	80
YAL005C	139502	141430	139253	2	1	83	81
YAL004W	140759	141406	141430	1	1	84	82
YAL003W	142173	143159	141430	1	2	85	83
snR18	142366	142467	143159	1	1	87	84
YAL002W	143706	147530	143159	1	1	88	85
YAL001C	147593	151165	147530	2	2	89	86
YAR002W	152256	153875	151165	1	1	91	87
YAR002C-A	154064	154723	153875	2	1	92	88
YAR003W	155004	156284	154723	1	1	93	89
YAR007C	156753	158618	156284	2	1	94	90
YAR008W	158965	159792	158618	1	1	95	91
YAR009C	160596	164186	159792	2	1	96	92
YAR010C	164543	165865	164186	2	1	97	93
tA(UGC)A	166266	166338	165865	1	1	98	94
