129
334	648	1	0	0
537	791	1	1	1
1806	2168	2	2	2
2479	2706	1	3	3
7234	9015	2	4	4
10090	10398	1	5	5
11564	11950	2	6	6
12045	12425	1	7	7
13362	13742	2	8	8
21565	21849	1	9	9
22394	22684	2	10	10
23999	27967	2	11	11
31566	32939	1	12	12
33447	34700	1	13	13
35154	36302	1	14	14
36495	36917	2	15	15
36508	37146	1	16	16
37463	38971	1	17	17
38695	39045	2	18	18
39258	41900	1	19	19
42176	42718	1	20	20
42880	45021	2	21	21
45898	48249	1	22	22
48563	51706	1	23	23
51854	52594	2	24	24
52800	54788	2	25	25
54583	54912	1	26	26
54988	56856	2	27	27
57028	57384	2	28	28
57487	57795	2	29	29
57517	57849	1	30	30
57949	58461	2	31	31
58694	61051	2	32	32
61230	61607	2	33	33
61315	62562	1	34	34
62839	65403	1	35	35
65777	67519	2	36	36
68715	69524	2	37	37
71785	73287	1	38	38
72325	73299	2	39	39
73425	73517	2	40	40
74019	74822	1	41	41
75042	76151	2	42	42
76426	79434	1	43	43
79488	79841	2	44	44
79717	80586	1	45	45
80709	81950	2	46	46
82705	83226	1	47	47
83334	84473	2	48	48
84668	84976	1	49	49
84748	87030	2	50	50
87285	87386	1	51	51
87500	87751	1	51	51
87854	92269	2	52	52
92899	94485	1	53	53
94686	95471	1	54	54
95385	95822	2	55	55
95629	99696	2	56	56
99304	99867	1	57	57
100224	101144	2	58	58
101564	105871	2	59	59
106271	108550	2	60	60
108876	110429	2	61	61
110845	113358	2	62	62
113613	114614	2	63	63
114249	114818	1	64	64
114918	118313	1	65	65
118563	119540	2	66	66
120224	124294	1	67	67
124306	124491	2	68	68
124754	125068	2	69	69
124878	126785	1	70	70
126902	128101	2	71	71
128251	129018	2	72	72
129269	130486	1	73	73
130798	131982	1	74	74
132198	134075	1	75	75
134183	135664	2	76	76
135853	136632	1	77	77
136913	137509	1	78	78
137697	138344	2	79	79
139151	139186	1	80	80
139218	139253	1	80	80
139502	141430	2	81	81
140759	141406	1	82	82
142173	142252	1	83	83
142366	142467	1	84	84
142619	143159	1	83	83
143706	147530	1	85	85
147593	151005	2	86	86
151096	151165	2	86	86
152256	153875	1	87	87
154064	154723	2	88	88
155004	156284	1	89	89
156753	158618	2	90	90
158965	159792	1	91	91
160596	164186	2	92	92
164543	165865	2	93	93
166266	166338	1	94	94
166741	168870	2	95	95
169374	170294	1	96	96
170395	171702	2	97	97
172210	175134	2	98	98
174997	175329	1	99	99
176855	177022	2	100	100
179280	179819	2	101	101
181140	181177	1	102	102
181210	181253	1	102	102
182521	182602	2	103	103
183769	184476	1	104	104
184891	185595	1	105	105
186320	186544	1	106	106
186511	186852	2	107	107
186835	187731	1	108	108
188106	188810	1	109	109
190192	192255	1	110	110
192336	192416	2	111	111
192618	196184	1	112	112
201466	201786	2	113	113
203402	208015	1	114	114
208366	208662	1	115	115
217156	217491	2	116	116
218139	218342	1	117	117
218548	219144	1	118	118
220197	220496	1	119	119
221048	221659	1	120	120
222405	222890	1	121	121
224010	224303	2	122	122
224562	224861	2	123	123
